Date,Day of Week,Time,Customers,Employees,Satisfaction,Profits,Expenses
2021-03-31,Wednesday,10:00,97,7,92,1633.24,35
2021-03-31,Wednesday,11:00,62,7,59,1062.41,35
2021-03-31,Wednesday,12:00,52,4,87,859,20
2021-03-31,Wednesday,13:00,53,4,88,912.36,20
2021-03-31,Wednesday,14:00,64,5,85,1518.89,25
2021-03-31,Wednesday,15:00,37,4,62,572.7,20
2021-03-31,Wednesday,16:00,36,4,60,687.74,20
2021-03-31,Wednesday,17:00,37,5,49,834.12,25
2021-03-31,Wednesday,18:00,165,10,100,3872.51,50
2021-03-31,Wednesday,19:00,124,10,83,3080.43,50
2021-03-31,Wednesday,20:00,117,4,100,2880.78,20
2021-03-31,Wednesday,21:00,158,7,100,3947.94,35
2021-03-31,Wednesday,22:00,186,12,100,2998.84,60
2021-04-01,Thursday,10:00,15,4,25,358.46,20
2021-04-01,Thursday,11:00,25,4,42,463.16,20
2021-04-01,Thursday,12:00,100,9,74,2461.87,45
2021-04-01,Thursday,13:00,24,5,32,514.81,25
2021-04-01,Thursday,14:00,33,4,55,596.59,20
2021-04-01,Thursday,15:00,87,6,97,1537.21,30
2021-04-01,Thursday,16:00,26,4,43,602.24,20
2021-04-01,Thursday,17:00,68,4,100,1562.69,20
2021-04-01,Thursday,18:00,169,9,100,3209.88,45
2021-04-01,Thursday,19:00,186,8,100,3992.75,40
2021-04-01,Thursday,20:00,138,7,100,3224.32,35
2021-04-01,Thursday,21:00,140,11,85,3477.77,55
2021-04-01,Thursday,22:00,121,5,100,2881.48,25
2021-04-02,Friday,10:00,96,7,91,1996.68,35
2021-04-02,Friday,11:00,57,4,95,1337.82,20
2021-04-02,Friday,12:00,52,4,87,1172.39,20
2021-04-02,Friday,13:00,65,7,62,1302.26,35
2021-04-02,Friday,14:00,12,4,20,208.08,20
2021-04-02,Friday,15:00,15,4,25,320.84,20
2021-04-02,Friday,16:00,50,6,56,1099.38,30
2021-04-02,Friday,17:00,43,6,48,662.39,30
2021-04-02,Friday,18:00,124,6,100,2442.09,30
2021-04-02,Friday,19:00,123,5,100,2306.74,25
2021-04-02,Friday,20:00,181,12,100,2944.47,60
2021-04-02,Friday,21:00,155,7,100,3385.38,35
2021-04-02,Friday,22:00,131,10,87,3258.69,50
2021-04-03,Saturday,10:00,91,6,100,2143.83,30
2021-04-03,Saturday,11:00,86,8,72,1962.31,40
2021-04-03,Saturday,12:00,76,4,100,1268.12,20
2021-04-03,Saturday,13:00,61,6,68,924.3,30
2021-04-03,Saturday,14:00,69,4,100,1337.65,20
2021-04-03,Saturday,15:00,18,4,30,401.13,20
2021-04-03,Saturday,16:00,52,5,69,948.17,25
2021-04-03,Saturday,17:00,52,4,87,1263.94,20
2021-04-03,Saturday,18:00,108,5,100,1716.3,25
2021-04-03,Saturday,19:00,161,9,100,4000.69,45
2021-04-03,Saturday,20:00,164,11,99,2756.43,55
2021-04-03,Saturday,21:00,165,10,100,3074.01,50
2021-04-03,Saturday,22:00,171,8,100,2864.59,40
2021-04-04,Sunday,10:00,94,8,78,1861.79,40
2021-04-04,Sunday,11:00,74,6,82,1246.83,30
2021-04-04,Sunday,12:00,17,4,28,382.99,20
2021-04-04,Sunday,13:00,14,4,23,328.28,20
2021-04-04,Sunday,14:00,95,5,100,1719.51,25
2021-04-04,Sunday,15:00,87,8,72,1910.8,40
2021-04-04,Sunday,16:00,63,4,100,973.7,20
2021-04-04,Sunday,17:00,47,4,78,1122.75,20
2021-04-04,Sunday,18:00,138,10,92,2400.42,50
2021-04-04,Sunday,19:00,106,4,100,1882.72,20
2021-04-04,Sunday,20:00,130,6,100,2828.39,30
2021-04-04,Sunday,21:00,141,6,100,3314.8,30
2021-04-04,Sunday,22:00,152,7,100,3306.61,35
2021-04-05,Monday,10:00,19,4,32,366.3,20
2021-04-05,Monday,11:00,42,4,70,762.64,20
2021-04-05,Monday,12:00,22,4,37,417.74,20
2021-04-05,Monday,13:00,43,4,72,767.9,20
2021-04-05,Monday,14:00,15,4,25,359.23,20
